"tcin","type","id","gtin","sort_by","search_term","category_id","url","customer_zipcode","page","max_page","delivery_type","include_out_of_stock","facets","reviewer_type","review_stars","review_media_type","store_stock_zipcode","only_in_stock"
 "87545432","product",,,,,,,,,,,,,,,,,
 "86882146","product",,,,,,,,,,,,,,,,,
 "79582388","product",,,,,,,,,,,,,,,,,
 "86882133","product",,,,,,,,,,,,,,,,,
 "86882234","product",,,,,,,,,,,,,,,,,
 "79699252","product",,,,,,,,,,,,,,,,,
 "79580703","product",,,,,,,,,,,,,,,,,
 "79578279","product",,,,,,,,,,,,,,,,,
 "79580987","product",,,,,,,,,,,,,,,,,
 "87974877","product",,,,,,,,,,,,,,,,,
 "79754939","product",,,,,,,,,,,,,,,,,
 "86879952","product",,,,,,,,,,,,,,,,,
 "79339996","product",,,,,,,,,,,,,,,,,
 "79699256","product",,,,,,,,,,,,,,,,,
 "82101581","product",,,,,,,,,,,,,,,,,
 "88199425","product",,,,,,,,,,,,,,,,,
 "79580702","product",,,,,,,,,,,,,,,,,
 "13183141","product",,,,,,,,,,,,,,,,,
 "54452133","product",,,,,,,,,,,,,,,,,
 "82096168","product",,,,,,,,,,,,,,,,,
 "87496355","product",,,,,,,,,,,,,,,,,
 "79578277","product",,,,,,,,,,,,,,,,,
 "53244818","product",,,,,,,,,,,,,,,,,
 "79578276","product",,,,,,,,,,,,,,,,,
 "87496363","product",,,,,,,,,,,,,,,,,
 "86800648","product",,,,,,,,,,,,,,,,,
 "84728567","product",,,,,,,,,,,,,,,,,
 "86882064","product",,,,,,,,,,,,,,,,,
 "87496353","product",,,,,,,,,,,,,,,,,
 "86882842","product",,,,,,,,,,,,,,,,,
 "82421193","product",,,,,,,,,,,,,,,,,
 "53216726","product",,,,,,,,,,,,,,,,,
 "87496368","product",,,,,,,,,,,,,,,,,
 "79580908","product",,,,,,,,,,,,,,,,,
 "82421233","product",,,,,,,,,,,,,,,,,
 "87496352","product",,,,,,,,,,,,,,,,,
 "86800644","product",,,,,,,,,,,,,,,,,
 "87496367","product",,,,,,,,,,,,,,,,,
 "87246443","product",,,,,,,,,,,,,,,,,
 "86800650","product",,,,,,,,,,,,,,,,,
 "87496359","product",,,,,,,,,,,,,,,,,
 "87496366","product",,,,,,,,,,,,,,,,,
 "86800646","product",,,,,,,,,,,,,,,,,
 "13493822","product",,,,,,,,,,,,,,,,,
 "84272165","product",,,,,,,,,,,,,,,,,
 "87663004","product",,,,,,,,,,,,,,,,,
 "14941468","product",,,,,,,,,,,,,,,,,
 "14941469","product",,,,,,,,,,,,,,,,,
 "13475408","product",,,,,,,,,,,,,,,,,
 "13353042","product",,,,,,,,,,,,,,,,,
 "13752672","product",,,,,,,,,,,,,,,,,
 "53319199","product",,,,,,,,,,,,,,,,,
 "87800924","product",,,,,,,,,,,,,,,,,
 "13332560","product",,,,,,,,,,,,,,,,,
 "87543904","product",,,,,,,,,,,,,,,,,
 "81491389","product",,,,,,,,,,,,,,,,,
 "87543905","product",,,,,,,,,,,,,,,,,
 "87543903","product",,,,,,,,,,,,,,,,,
 "86991404","product",,,,,,,,,,,,,,,,,
 "87575804","product",,,,,,,,,,,,,,,,,
 "87543909","product",,,,,,,,,,,,,,,,,
 "81970118","product",,,,,,,,,,,,,,,,,
 "87543908","product",,,,,,,,,,,,,,,,,
 "87544302","product",,,,,,,,,,,,,,,,,
 "87544300","product",,,,,,,,,,,,,,,,,
 "87662991","product",,,,,,,,,,,,,,,,,
 "87205974","product",,,,,,,,,,,,,,,,,
